loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,issue_d_Jan-2019,issue_d_Mar-2019,initial_list_status_w,next_pymnt_d_May-2019,application_type_Joint App,loan_status
6000,0.1033,194.54,49000,18.49,0,0,10,0,12412,15,5712.99,5712.99,380.47,380.47,287.01,93.46,0,0,0,194.54,0,1,0,0,30244,2,4,1,5,5,17832,63,2,2,3503,56,26000,0,5,1,7,3024,13168,42,0,0,31,98,5,5,0,8,11,0,3,4,4,4,6,6,9,4,10,0,0,0,3,100,25,0,0,54483,30244,22700,28483,0,0,1,0,0,1,0,1,0,0,low_risk
13600,0.2235,378.33,95000,5.17,0,1,4,0,6492,12,13217.88,13217.88,1092.77,1092.77,382.12,710.65,0,0,0,378.33,0,1,0,0,248639,3,1,1,1,5,15643,95,2,2,4533,81,11000,0,1,8,5,62160,2467,64.8,0,0,41,82,4,4,2,4,4,0,1,2,1,5,2,2,8,2,4,0,0,0,5,100,0,0,0,255389,22135,7000,16439,1,0,0,0,0,1,0,1,1,0,low_risk
8000,0.1131,263.09,62000,17.85,1,1,6,0,4860,21,6400.03,6400.03,1790.83,1790.83,1599.97,190.86,0,0,0,263.09,0,1,0,0,36748,4,2,2,3,6,31888,62,2,2,3781,55,15700,3,3,1,5,6125,7919,32.3,0,0,137,152,3,3,2,4,6,2,1,2,2,4,11,4,8,2,6,0,0,1,4,90.5,50,0,0,66794,36748,11700,51094,0,0,1,0,0,1,0,1,1,0,low_risk
8000,0.1298,269.48,125000,7.17,0,1,11,0,13667,13,7632.13,7632.13,524.54,524.54,367.87,156.67,0,0,0,269.48,0,1,0,0,29407,2,1,0,1,13,15740,86,6,8,5019,73,22100,0,0,1,9,2673,5415,68.7,0,0,13,58,6,6,0,11,6,1,4,8,5,6,1,10,12,8,11,0,0,0,6,91.7,60,0,0,40381,29407,17300,18281,0,1,0,0,0,1,0,1,0,0,low_risk
36000,0.1356,1222.72,62000,21.14,0,0,11,0,10920,13,34358.94,34358.94,2445.44,2445.44,1641.06,804.38,0,0,0,1222.72,0,1,0,236,191182,0,5,2,3,9,31875,69,0,3,7784,67,17600,0,1,1,7,17380,2216,77.8,0,0,79,42,14,9,1,23,9,0,1,3,2,2,7,5,5,3,11,0,0,0,2,100,50,0,0,216664,42795,10000,46289,1,0,0,0,1,1,0,1,0,1,low_risk
4400,0.1298,148.22,35700,24.1,0,1,4,0,3718,8,4094.84,4094.84,412.94,412.94,305.16,107.78,0,0,0,148.22,0,1,0,0,33140,1,1,2,3,4,29422,96,0,0,817,95,4300,8,1,8,3,8285,183,81.7,0,0,53,47,38,4,0,44,4,0,1,3,1,1,5,3,3,3,4,0,0,0,2,100,100,0,0,34829,33140,1000,30529,0,0,1,0,0,1,0,0,1,0,low_risk
15000,0.0881,475.68,76000,14.8,0,0,10,0,8728,13,14266.21,14266.21,933.01,933.01,733.79,199.22,0,0,0,475.68,0,1,0,249,40029,0,2,0,1,23,31301,43,0,0,2560,55,15200,2,0,0,1,4003,4912,58.7,0,0,109,120,31,23,0,31,23,0,4,6,5,5,5,8,8,6,10,0,0,0,0,100,40,0,0,56071,40029,11900,40871,1,0,0,0,0,1,0,1,0,0,low_risk
18000,0.0881,372,56000,19.1,0,0,17,0,20084,20,17518.54,17518.54,721.98,721.98,481.46,240.52,0,0,0,372,0,1,0,0,60189,0,9,0,1,24,40105,80,3,7,7459,77,27700,1,1,2,8,3541,3416,85.5,0,0,76,51,8,8,0,8,8,0,6,6,6,8,9,8,11,6,17,0,0,0,3,100,83.3,0,0,78149,60189,23500,50449,0,0,1,1,0,1,0,1,0,0,low_risk
24000,0.0881,761.08,650000,4.62,0,0,13,0,21679,34,22825.95,22825.95,1492.79,1492.79,1174.05,318.74,0,0,0,761.08,0,1,0,0,1068127,1,4,2,2,6,49384,71,0,2,8620,65,39600,1,0,2,5,97102,8908,65.2,0,0,176,208,14,6,6,29,6,0,2,3,3,4,10,7,17,3,13,0,0,0,2,100,66.7,0,0,1139234,95722,25600,70080,1,0,0,0,1,1,0,1,0,0,low_risk
30000,0.1298,1010.53,87000,34.8,1,2,24,0,34722,46,27919.57,27919.57,2977.51,2977.51,2080.43,897.08,0,0,0,1010.53,0,1,0,0,231417,3,4,1,1,11,60771,70,4,4,9600,66,58600,0,4,3,5,9642,6814,63.2,0,0,137,148,4,4,2,30,4,0,6,14,6,9,16,19,28,14,24,0,0,0,5,95.7,33.3,0,0,303767,95493,18500,86787,1,0,0,0,1,1,0,1,1,0,low_risk
